state_alpha,state_fips_code,year,Value,Area,log_Value,lowess_log_Value
AL,1,1952,11.0,2179000.0,2.3978952727983707,3.1013619277872024
AL,1,1951,19.0,2281000.0,2.9444389791664403,3.067586598082903
AL,1,1950,21.5,2443000.0,3.068052935133617,3.0337471783205916
AZ,4,2018,220.0,15000.0,5.393627546352363,5.344108788448598
AZ,4,2017,195.0,32000.0,5.272999558563747,5.334788265475066
AZ,4,2016,215.0,50000.0,5.3706380281276624,5.325414791649143
AZ,4,2015,210.0,36000.0,5.3471075307174685,5.315980352038642
AZ,4,2014,210.0,28000.0,5.3471075307174685,5.306475024674918
AZ,4,2013,177.0,51000.0,5.17614973257383,5.296886520782928
AZ,4,2012,195.0,32000.0,5.272999558563747,5.287201113377482
AZ,4,2011,178.0,35000.0,5.181783550292085,5.277407319799247
AZ,4,2010,210.0,22000.0,5.3471075307174685,5.2674950120350585
AZ,4,2009,175.0,20000.0,5.1647859739235145,5.257455941811024
AZ,4,2008,165.0,15000.0,5.105945473900579,5.247281093165084
AZ,4,2007,185.0,22000.0,5.220355825078324,5.236964265572999
AZ,4,2006,170.0,18000.0,5.135798437050261,5.226504275033338
AZ,4,2005,195.0,22000.0,5.272999558563747,5.2159038900310755
AZ,4,2004,180.0,27000.0,5.1929568508902095,5.205171338183528
AZ,4,2003,190.0,22000.0,5.247024072160486,5.1943189007548645
AZ,4,2002,185.0,28000.0,5.220355825078324,5.183364993962679
AZ,4,2001,208.0,28000.0,5.337538079701318,5.172334994533798
AZ,4,2000,196.0,33000.0,5.278114659230517,5.161262408124688
AZ,4,1999,195.0,30000.0,5.272999558563747,5.150185487454167
AZ,4,1998,175.0,30000.0,5.1647859739235145,5.139140656454337
AZ,4,1997,165.0,40000.0,5.105945473900579,5.128136096351053
AZ,4,1996,175.0,40000.0,5.1647859739235145,5.117078231516769
AZ,4,1995,170.0,22000.0,5.135798437050261,5.101047672278548
AZ,4,1994,170.0,15000.0,5.135798437050261,5.083054338550139
AZ,4,1993,160.0,10000.0,5.0751738152338275,5.062494695907628
AZ,4,1992,170.0,11000.0,5.135798437050261,5.038672328201674
AZ,4,1991,170.0,5000.0,5.135798437050261,5.011066000371156
AZ,4,1990,160.0,7000.0,5.0751738152338275,4.979096221591003
AZ,4,1989,145.0,13000.0,4.976733742420574,4.942023265719269
AZ,4,1988,155.0,13000.0,5.043425116919247,4.899279933019452
AZ,4,1987,140.0,15000.0,4.941642422609304,4.850793086807921
AZ,4,1986,140.0,15000.0,4.941642422609304,4.79701998523345
AZ,4,1985,130.0,14000.0,4.867534450455582,4.738936935637379
AZ,4,1984,135.0,18000.0,4.90527477843843,4.677816735663978
AZ,4,1983,145.0,13000.0,4.976733742420574,4.614912867532231
AZ,4,1982,132.0,18000.0,4.8828019225863715,4.551128919822238
AZ,4,1981,130.0,30000.0,4.867534450455582,4.486911178201614
AZ,4,1980,100.0,35000.0,4.605170185988092,4.422434936563862
AZ,4,1979,115.0,45000.0,4.74493212836325,4.35783601232787
AZ,4,1978,115.0,50000.0,4.74493212836325,4.293069507786519
AZ,4,1977,100.0,50000.0,4.605170185988092,4.227864259459892
AZ,4,1976,60.0,28000.0,4.0943445622220995,4.161916662533031
AZ,4,1975,33.0,12000.0,3.49650756146648,4.095021165275854
AZ,4,1974,34.0,10000.0,3.5263605246161616,4.027122620996649
AZ,4,1973,32.0,9000.0,3.4657359027997265,3.9582021777762764
AZ,4,1972,35.0,15000.0,3.555348061489413,3.888216006988134
AZ,4,1971,32.0,16000.0,3.4657359027997265,3.818434347722525
AZ,4,1970,24.0,15000.0,3.1780538303479458,3.749440759696866
AZ,4,1969,27.0,20000.0,3.2958368660043287,3.6806540890195056
AZ,4,1968,32.0,17000.0,3.4657359027997265,3.6118794747819183
AZ,4,1967,37.0,21000.0,3.610917912644224,3.5431071590103222
AZ,4,1966,36.0,19000.0,3.58351893845611,3.4743830766079826
AZ,4,1965,28.0,20000.0,3.332204510175204,3.4057529194426848
AZ,4,1964,27.0,21000.0,3.2958368660043287,3.337251556822825
AZ,4,1963,25.0,18000.0,3.218875824868201,3.268909670214149
AZ,4,1962,24.0,17000.0,3.1780538303479458,3.2007541832409436
AZ,4,1961,18.0,21000.0,2.8903717578961645,3.1328085639077536
AZ,4,1960,16.5,21000.0,2.8033603809065353,3.065094016449924
AZ,4,1959,17.5,22000.0,2.862200880929469,2.9976346499303066
AZ,4,1958,24.0,24000.0,3.1780538303479458,2.930457689775828
AZ,4,1957,30.5,28000.0,3.4177266836133664,2.863588787723637
AZ,4,1956,30.0,35000.0,3.4011973816621555,2.797043310808405
AZ,4,1955,25.0,40000.0,3.218875824868201,2.7308300322397137
AZ,4,1954,16.0,28000.0,2.772588722239781,2.6649532600752672
AZ,4,1953,15.0,27000.0,2.7080502011022096,2.5994104067767894
AZ,4,1952,12.5,28000.0,2.525728644308256,2.5341918571993314
AZ,4,1951,10.5,25000.0,2.3513752571634776,2.4692826577155453
AZ,4,1950,15.0,25000.0,2.7080502011022096,2.4046686477783
AR,5,2019,175.0,740000.0,5.1647859739235145,5.24887105528287
AR,5,2018,181.0,645000.0,5.198497031265826,5.228422499056238
AR,5,2017,183.0,595000.0,5.2094861528414205,5.207938331263286
AR,5,2016,171.0,745000.0,5.14166355650266,5.187421439844889
AR,5,2015,181.0,445000.0,5.198497031265826,5.166875250295815
AR,5,2014,187.0,530000.0,5.231108616854587,5.1463043326286115
AR,5,2013,186.0,870000.0,5.225746673713202,5.125712109158725
AR,5,2012,178.0,695000.0,5.181783550292085,5.105098681515496
AR,5,2011,141.0,520000.0,4.948759890378168,5.084460015700011
AR,5,2010,150.0,380000.0,5.010635294096256,5.063789237135251
AR,5,2009,148.0,410000.0,4.997212273764115,5.043081161415913
AR,5,2008,152.0,430000.0,5.0238805208462765,5.022331998374367
AR,5,2007,169.0,590000.0,5.1298987149230735,5.001538598422502
AR,5,2006,146.0,180000.0,4.9836066217083355,4.980696473877497
AR,5,2005,131.0,230000.0,4.875197323201151,4.959796589530152
AR,5,2004,140.0,305000.0,4.941642422609304,4.938827187423433
AR,5,2003,140.0,350000.0,4.941642422609304,4.9177763288953384
AR,5,2002,134.0,255000.0,4.897839799950911,4.896630016781321
AR,5,2001,145.0,185000.0,4.976733742420574,4.8753701767923845
AR,5,2000,130.0,175000.0,4.867534450455582,4.853972153623512
AR,5,1999,130.0,100000.0,4.867534450455582,4.8323957152606365
AR,5,1998,100.0,215000.0,4.605170185988092,4.8105769219881624
AR,5,1997,125.0,185000.0,4.8283137373023015,4.788432065363511
AR,5,1996,125.0,230000.0,4.8283137373023015,4.762137872494403
AR,5,1995,115.0,85000.0,4.74493212836325,4.734190392431398
AR,5,1994,120.0,90000.0,4.787491742782046,4.704637175555891
AR,5,1993,91.0,90000.0,4.51085950651685,4.673526999813918
AR,5,1992,130.0,95000.0,4.867534450455582,4.640900379517364
AR,5,1991,100.0,80000.0,4.605170185988092,4.606797677252665
AR,5,1990,95.0,73000.0,4.553876891600541,4.5712668238475755
AR,5,1989,122.0,58000.0,4.804021044733257,4.534449798167127
AR,5,1988,100.0,60000.0,4.605170185988092,4.496592102046189
AR,5,1987,115.0,65000.0,4.74493212836325,4.457935465409813
AR,5,1986,106.0,80000.0,4.663439094112067,4.418695331045799
AR,5,1985,108.0,73000.0,4.68213122712422,4.379001447649967
AR,5,1984,95.0,49000.0,4.553876891600541,4.338928736909867
AR,5,1983,80.0,33000.0,4.382026634673881,4.298532089727899
AR,5,1982,90.0,30000.0,4.499809670330264,4.257920397390889
AR,5,1981,65.0,49000.0,4.174387269895637,4.2171985778916845
AR,5,1980,28.0,37000.0,3.332204510175204,4.176419952392101
AR,5,1979,58.0,35000.0,4.060443010546419,4.135594897924415
AR,5,1978,60.0,30000.0,4.0943445622220995,4.094682973607217
AR,5,1977,53.0,43000.0,3.970291913552122,4.053618805929826
AR,5,1976,56.0,45000.0,4.02535169073515,4.012377237857858
AR,5,1975,50.0,38000.0,3.912023005428147,3.9709293500448037
AR,5,1974,44.0,23000.0,3.7841896339182615,3.9292863275199545
AR,5,1973,35.0,21000.0,3.555348061489413,3.887515661491063
AR,5,1972,40.0,28000.0,3.688879454113936,3.8458196832951397
AR,5,1971,39.0,40000.0,3.6635616461296463,3.8086796092532986
AR,5,1970,36.0,44000.0,3.58351893845611,3.7719008040059148
AR,5,1969,36.0,43000.0,3.58351893845611,3.7353787435414585
AR,5,1968,41.0,51000.0,3.7135720667043084,3.699074448447836
AR,5,1967,42.0,62000.0,3.737669618283368,3.6629889066015515
AR,5,1966,30.5,76000.0,3.4177266836133664,3.6271310372821204
AR,5,1965,37.0,98000.0,3.610917912644224,3.591507852169265
AR,5,1964,25.5,132000.0,3.2386784521643803,3.556128290894521
AR,5,1963,34.0,174000.0,3.5263605246161616,3.5209988416433076
AR,5,1962,32.5,207000.0,3.481240089335692,3.4861259759296113
AR,5,1961,35.5,238000.0,3.5695326964813705,3.451513344646018
AR,5,1960,31.5,305000.0,3.4499875458315867,3.4171611092492666
AR,5,1959,32.0,380000.0,3.4657359027997265,3.3830641670847355
AR,5,1958,31.0,422000.0,3.4339872044851463,3.349214169541932
AR,5,1957,27.5,475000.0,3.3141860046725258,3.3155991821647417
AR,5,1956,27.0,646000.0,3.2958368660043287,3.2822044421190935
AR,5,1955,30.0,630000.0,3.4011973816621555,3.249015225074388
AR,5,1954,11.5,573000.0,2.4423470353692043,3.216016130796485
AR,5,1953,17.0,637000.0,2.8332133440562166,3.1831883750203565
AR,5,1952,15.0,827000.0,2.7080502011022096,3.1505145284848135
AR,5,1951,23.5,955000.0,3.157000421150113,3.1179830958972548
AR,5,1950,23.5,1337000.0,3.157000421150113,3.085585620820167
CA,6,2019,165.0,90000.0,5.105945473900579,5.2060062751208775
CA,6,2018,173.0,65000.0,5.153291594497778,5.201816653270875
CA,6,2017,167.0,80000.0,5.1179938124167546,5.197528357217085
CA,6,2016,185.0,100000.0,5.220355825078324,5.193141388161117
CA,6,2015,157.0,60000.0,5.056245805348309,5.188658250994868
CA,6,2014,165.0,95000.0,5.105945473900579,5.184081828729838
CA,6,2013,191.0,180000.0,5.25227342804663,5.1794177678724065
CA,6,2012,180.0,180000.0,5.1929568508902095,5.174674283675931
CA,6,2011,181.0,150000.0,5.198497031265826,5.169858577409528
CA,6,2010,192.0,180000.0,5.2574953720277815,5.164976990798736
CA,6,2009,180.0,160000.0,5.1929568508902095,5.160034648416615
CA,6,2008,195.0,170000.0,5.272999558563747,5.155034205601838
CA,6,2007,182.0,190000.0,5.204006687076795,5.1499759415257245
CA,6,2006,165.0,110000.0,5.105945473900579,5.1448564788284035
CA,6,2005,172.0,130000.0,5.147494476813453,5.139668882184512
CA,6,2004,175.0,150000.0,5.1647859739235145,5.134404420348816
CA,6,2003,160.0,140000.0,5.0751738152338275,5.129051011924769
CA,6,2002,170.0,150000.0,5.135798437050261,5.123591122933929
CA,6,2001,170.0,160000.0,5.135798437050261,5.118000717964397
CA,6,2000,170.0,205000.0,5.135798437050261,5.112240059748186
CA,6,1999,170.0,185000.0,5.135798437050261,5.106232938633487
CA,6,1998,160.0,245000.0,5.0751738152338275,5.099823619383631
CA,6,1997,170.0,265000.0,5.135798437050261,5.092728168704989
CA,6,1996,160.0,220000.0,5.0751738152338275,5.082253921629148
CA,6,1995,160.0,150000.0,5.0751738152338275,5.070877740640031
CA,6,1994,170.0,180000.0,5.135798437050261,5.05865114518158
CA,6,1993,165.0,170000.0,5.105945473900579,5.045626631721552
CA,6,1992,165.0,150000.0,5.105945473900579,5.0318438313208675
CA,6,1991,160.0,115000.0,5.0751738152338275,5.017352997217064
CA,6,1990,160.0,160000.0,5.0751738152338275,5.002195755558618
CA,6,1989,160.0,185000.0,5.0751738152338275,4.986397580445297
CA,6,1988,145.0,187000.0,4.976733742420574,4.96997452103316
CA,6,1987,160.0,221000.0,5.0751738152338275,4.952944785127681
CA,6,1986,152.0,250000.0,5.0238805208462765,4.935306668906424
CA,6,1985,145.0,320000.0,4.976733742420574,4.917028990144991
CA,6,1984,136.0,375000.0,4.9126548857360515,4.898040189909642
CA,6,1983,128.0,260000.0,4.852030263919617,4.878290046399526
CA,6,1982,130.0,330000.0,4.867534450455582,4.857755960736206
CA,6,1981,130.0,275000.0,4.867534450455582,4.836425421383377
CA,6,1980,135.0,270000.0,4.90527477843843,4.814304776131899
CA,6,1979,117.0,260000.0,4.762173934797756,4.791433492266682
CA,6,1978,126.0,281000.0,4.836281906951479,4.767871850852268
CA,6,1977,116.0,247000.0,4.7535901911063645,4.743697523388995
CA,6,1976,110.0,290000.0,4.700480365792417,4.7189853692362
CA,6,1975,109.0,254000.0,4.691347882229144,4.6937987770792065
CA,6,1974,107.0,225000.0,4.672828834461906,4.668215453493897
CA,6,1973,105.0,235000.0,4.653960350157523,4.642294635947593
CA,6,1972,100.0,215000.0,4.605170185988092,4.616087476457226
CA,6,1971,94.0,250000.0,4.543294782270004,4.5892477263563975
CA,6,1970,98.0,203000.0,4.584967478670572,4.562125614480236
CA,6,1969,92.0,177000.0,4.5217885770490405,4.5347913079242455
CA,6,1968,95.0,185000.0,4.553876891600541,4.507304673508136
CA,6,1967,84.0,220000.0,4.430816798843313,4.479710616413575
CA,6,1966,92.0,180000.0,4.5217885770490405,4.452041176621373
CA,6,1965,89.0,144000.0,4.48863636973214,4.424320714928201
CA,6,1964,82.0,107000.0,4.4067192472642525,4.396564863868038
CA,6,1963,77.0,98000.0,4.343805421853683,4.368782361443423
CA,6,1962,77.0,77000.0,4.343805421853683,4.340978448783688
CA,6,1961,72.0,91000.0,4.276666119016055,4.3131568851478885
CA,6,1960,72.0,130000.0,4.276666119016055,4.285320014850108
CA,6,1959,71.0,167000.0,4.262679877041316,4.257470027825677
CA,6,1958,70.0,176000.0,4.248495242049359,4.229608435077803
CA,6,1957,74.0,216000.0,4.30406509320417,4.201735466156761
CA,6,1956,72.0,173000.0,4.276666119016055,4.173849243102827
CA,6,1955,66.0,184000.0,4.189654742026425,4.14594408991173
CA,6,1954,57.0,103000.0,4.043051267834549,4.118010590893913
CA,6,1953,46.0,37000.0,3.828641396489095,4.090038003145983
CA,6,1952,48.0,39000.0,3.8712010109078916,4.0620186330352475
CA,6,1951,47.0,30000.0,3.8501476017100575,4.033946447864923
CA,6,1950,43.0,42000.0,3.7612001156935615,4.005818829706191
CO,8,2019,144.0,1260000.0,4.969813299576002,4.940671315477246
CO,8,2018,130.0,1200000.0,4.867534450455582,4.941234810040825
CO,8,2017,143.0,1300000.0,4.962844630259907,4.941775960329796
CO,8,2016,137.0,1170000.0,4.919980925828125,4.942294185289435
CO,8,2015,142.0,950000.0,4.955827057601262,4.942788926007818
CO,8,2014,146.0,1010000.0,4.9836066217083355,4.943259986038437
CO,8,2013,131.0,980000.0,4.875197323201151,4.943706659878603
CO,8,2012,133.0,1010000.0,4.890349128221754,4.944127397406109
CO,8,2011,133.0,1300000.0,4.890349128221754,4.944522390074672
CO,8,2010,151.0,1210000.0,5.017279836814924,4.944894106565944
CO,8,2009,153.0,990000.0,5.030437921392434,4.945246682178429
CO,8,2008,137.0,1010000.0,4.919980925828125,4.945582811821398
CO,8,2007,140.0,1060000.0,4.941642422609304,4.9459030292670905
CO,8,2006,156.0,860000.0,5.049856007249537,4.946208001975305
CO,8,2005,148.0,950000.0,4.997212273764115,4.946498144430878
CO,8,2004,135.0,1040000.0,4.90527477843843,4.946770704992079
CO,8,2003,135.0,890000.0,4.90527477843843,4.947019933984382
CO,8,2002,150.0,720000.0,5.010635294096256,4.947239726357809
CO,8,2001,140.0,1070000.0,4.941642422609304,4.947423684454577
CO,8,2000,126.0,1150000.0,4.836281906951479,4.947560427429828
CO,8,1999,142.0,1120000.0,4.955827057601262,4.947630889481359
CO,8,1998,145.0,1070000.0,4.976733742420574,4.947599422199003
CO,8,1997,146.0,980000.0,4.9836066217083355,4.947378459328787
CO,8,1996,142.0,890000.0,4.955827057601262,4.944253327701152
CO,8,1995,111.0,830000.0,4.709530201312334,4.940028770170235
CO,8,1994,150.0,840000.0,5.010635294096256,4.934665937557953
CO,8,1993,120.0,890000.0,4.787491742782046,4.9281756366286
CO,8,1992,148.0,880000.0,4.997212273764115,4.920572494093011
CO,8,1991,153.0,870000.0,5.030437921392434,4.911931799540821
CO,8,1990,155.0,830000.0,5.043425116919247,4.902364590007187
CO,8,1989,145.0,930000.0,4.976733742420574,4.891969643379632
CO,8,1988,160.0,800000.0,5.0751738152338275,4.880802246207898
CO,8,1987,155.0,690000.0,5.043425116919247,4.868856212485581
CO,8,1986,145.0,710000.0,4.976733742420574,4.856022323794415
CO,8,1985,139.0,745000.0,4.934473933130692,4.842140754684199
CO,8,1984,134.0,680000.0,4.897839799950911,4.827040964873532
CO,8,1983,122.0,610000.0,4.804021044733257,4.810499096284188
CO,8,1982,129.0,790000.0,4.859812404361672,4.792308730887558
CO,8,1981,135.0,770000.0,4.90527477843843,4.772290296512238
CO,8,1980,118.0,760000.0,4.770684624465665,4.750310415367612
CO,8,1979,127.0,760000.0,4.84418708645859,4.726262217569169
CO,8,1978,110.0,730000.0,4.700480365792417,4.700086989616516
CO,8,1977,116.0,695000.0,4.7535901911063645,4.671767902441541
CO,8,1976,102.0,630000.0,4.624972813284272,4.641319498628733
CO,8,1975,92.0,560000.0,4.5217885770490405,4.60878010015377
CO,8,1974,98.0,540000.0,4.584967478670572,4.574169288341049
CO,8,1973,100.0,485000.0,4.605170185988092,4.537528650089666
CO,8,1972,102.0,415000.0,4.624972813284272,4.49890235122053
CO,8,1971,86.0,450000.0,4.4543472962535064,4.452978865566984
CO,8,1970,97.0,400000.0,4.574710978503383,4.405579569632648
CO,8,1969,95.0,334000.0,4.553876891600541,4.357444581550671
CO,8,1968,85.0,282000.0,4.442651256490317,4.308953166974926
CO,8,1967,82.0,270000.0,4.4067192472642525,4.260267137168672
CO,8,1966,80.0,223000.0,4.382026634673881,4.211448946683262
CO,8,1965,71.0,192000.0,4.262679877041316,4.16251718171002
CO,8,1964,66.5,176000.0,4.197201947661808,4.113470002334305
CO,8,1963,65.0,178000.0,4.174387269895637,4.064295968001823
CO,8,1962,54.0,196000.0,3.9889840465642745,4.014978422573475
CO,8,1961,62.5,231000.0,4.135166556742356,3.9654977349619256
CO,8,1960,51.5,251000.0,3.9415818076696905,3.9158344455603067
CO,8,1959,51.0,306000.0,3.9318256327243257,3.865966702940605
CO,8,1958,47.5,348000.0,3.8607297110405954,3.8158723309319926
CO,8,1957,48.5,296000.0,3.881563797943437,3.7655287170362413
CO,8,1956,42.0,204000.0,3.737669618283368,3.7149127820537666
CO,8,1955,32.0,237000.0,3.4657359027997265,3.6640000381958515
CO,8,1954,27.0,219000.0,3.2958368660043287,3.612768007264489
CO,8,1953,30.0,237000.0,3.4011973816621555,3.561201444320572
CO,8,1952,26.0,212000.0,3.258096538021482,3.5092919993457863
CO,8,1951,27.5,340000.0,3.3141860046725258,3.4570388697130383
CO,8,1950,24.5,343000.0,3.198673117550681,3.404448679355817
CT,9,1966,72.0,1000.0,4.276666119016055,4.286163841658023
CT,9,1965,65.0,1000.0,4.174387269895637,4.27706391626542
CT,9,1964,71.0,1000.0,4.262679877041316,4.266845089938852
CT,9,1963,75.0,2000.0,4.31748811353631,4.255865296937978
CT,9,1962,73.0,2000.0,4.290459441148391,4.245149106079504
CT,9,1961,68.0,2000.0,4.219507705176107,4.233488276294716
CT,9,1960,67.0,3000.0,4.204692619390967,4.204290624226126
CT,9,1959,66.0,3000.0,4.189654742026425,4.165946067903632
CT,9,1958,67.0,3000.0,4.204692619390967,4.125314845843834
CT,9,1957,57.0,3000.0,4.043051267834549,4.084110439124345
CT,9,1956,57.0,4000.0,4.043051267834549,4.040313709652687
CT,9,1955,47.0,4000.0,3.8501476017100575,3.9953604024300575
CT,9,1954,52.0,4000.0,3.951243718581428,3.9621796017230713
CT,9,1953,50.0,4000.0,3.912023005428147,3.9298829652841616
CT,9,1952,44.0,5000.0,3.7841896339182615,3.897721894517544
CT,9,1951,48.0,6000.0,3.8712010109078916,3.8661645966346585
CT,9,1950,47.0,6000.0,3.8501476017100575,3.83542607789474
DE,10,2019,150.0,180000.0,5.010635294096256,5.131108279095133
DE,10,2018,145.0,166000.0,4.976733742420574,5.11247697221301
DE,10,2017,189.0,171000.0,5.2417470150596435,5.093881589485157
DE,10,2016,170.0,164000.0,5.135798437050261,5.075334732772388
DE,10,2015,192.0,164000.0,5.2574953720277815,5.056845478012244
DE,10,2014,200.0,168000.0,5.298317366548036,5.038418609712204
DE,10,2013,166.0,174000.0,5.111987788356544,5.020051098534161
DE,10,2012,135.0,178000.0,4.90527477843843,5.001730516336291
DE,10,2011,130.0,182000.0,4.867534450455582,4.9834390201245995
DE,10,2010,114.0,173000.0,4.736198448394496,4.965159078377133
DE,10,2009,145.0,163000.0,4.976733742420574,4.946875835780122
DE,10,2008,125.0,152000.0,4.8283137373023015,4.928578472398458
DE,10,2007,99.0,185000.0,4.59511985013459,4.910255816239991
DE,10,2006,145.0,161000.0,4.976733742420574,4.89189928157066
DE,10,2005,143.0,154000.0,4.962844630259907,4.8735068254053635
DE,10,2004,152.0,153000.0,5.0238805208462765,4.855075964956511
DE,10,2003,123.0,162000.0,4.812184355372417,4.836599948466638
DE,10,2002,84.0,167000.0,4.430816798843313,4.818064731035224
DE,10,2001,146.0,162000.0,4.9836066217083355,4.799455150795478
DE,10,2000,162.0,155000.0,5.087596335232384,4.780765811522488
DE,10,1999,89.0,154000.0,4.48863636973214,4.76199543994774
DE,10,1998,100.0,155000.0,4.605170185988092,4.743174439839972
DE,10,1997,105.0,160000.0,4.653960350157523,4.724504261203055
DE,10,1996,143.0,154000.0,4.962844630259907,4.707237331043197
DE,10,1995,105.0,144000.0,4.653960350157523,4.690511648631365
DE,10,1994,125.0,150000.0,4.8283137373023015,4.674351207324736
DE,10,1993,85.0,160000.0,4.442651256490317,4.658657309299096
DE,10,1992,119.0,161000.0,4.7791234931115305,4.643197969830518
DE,10,1991,106.0,169000.0,4.663439094112067,4.6277428436258585
DE,10,1990,115.0,172000.0,4.74493212836325,4.612102756183225
DE,10,1989,100.0,133000.0,4.605170185988092,4.596118252180418
DE,10,1988,70.0,140000.0,4.248495242049359,4.579732178688334
DE,10,1987,75.0,148000.0,4.31748811353631,4.56290751053406
DE,10,1986,83.0,169000.0,4.418840607796597,4.545689128532417
DE,10,1985,109.0,175000.0,4.691347882229144,4.5280852924481705
DE,10,1984,113.0,150000.0,4.727387818712341,4.510132217839751
DE,10,1983,75.0,145000.0,4.31748811353631,4.491901088312411
DE,10,1982,102.0,177000.0,4.624972813284272,4.473406797863757
DE,10,1981,85.0,181000.0,4.442651256490317,4.454675729163338
DE,10,1980,72.0,177000.0,4.276666119016055,4.435730502999143
DE,10,1979,102.0,159000.0,4.624972813284272,4.416666177296557
DE,10,1978,96.0,157000.0,4.564348191467836,4.397533812300748
DE,10,1977,56.0,173000.0,4.02535169073515,4.378298833097432
DE,10,1976,88.0,195000.0,4.477336814478207,4.358860310136981
DE,10,1975,92.0,170000.0,4.5217885770490405,4.339192636445394
DE,10,1974,72.0,175000.0,4.276666119016055,4.319303577504995
